global_step,episode,episode_return,episode_length,policy_loss,value_loss,entropy,kl,eval_return
46545,379,223.0,223,,,,,
46724,380,179.0,179,,,,,
46978,381,254.0,254,,,,,
47104,382,,,-0.003794577662483789,103.23724303245544,0.5779437407851219,0.004054918740803278,
47246,382,268.0,268,,,,,
47355,383,109.0,109,,,,,
47548,384,193.0,193,,,,,
47758,385,210.0,210,,,,,
47962,386,204.0,204,,,,,
48381,387,419.0,419,,,,,
48837,388,456.0,456,,,,,
49006,389,169.0,169,,,,,
49152,390,,,-0.002830920199630782,101.63379020690918,0.5647240001708269,0.004560367868953116,
49269,390,263.0,263,,,,,
49532,391,263.0,263,,,,,
49686,392,154.0,154,,,,,
49821,393,135.0,135,,,,,
50010,394,189.0,189,,,,,
50197,395,187.0,187,,,,,
50418,396,221.0,221,,,,,
50550,397,132.0,132,,,,,
50793,398,243.0,243,,,,,
50931,399,138.0,138,,,,,
51143,400,212.0,212,,,,,
51200,401,,,-0.00278188580123242,94.56182897090912,0.5820176292210817,0.0028265311043966855,190.6
51278,401,135.0,135,,,,,
51353,402,75.0,75,,,,,
51527,403,174.0,174,,,,,
51681,404,154.0,154,,,,,
51850,405,169.0,169,,,,,
52020,406,170.0,170,,,,,
52176,407,156.0,156,,,,,
52342,408,166.0,166,,,,,
52516,409,174.0,174,,,,,
52713,410,197.0,197,,,,,
52855,411,142.0,142,,,,,
53047,412,192.0,192,,,,,
53212,413,165.0,165,,,,,
53248,414,,,-0.002402432120288722,88.39505462646484,0.5807911977171898,0.002871883188361766,
53414,414,202.0,202,,,,,
53631,415,217.0,217,,,,,
53785,416,154.0,154,,,,,
53990,417,205.0,205,,,,,
54199,418,209.0,209,,,,,
54370,419,171.0,171,,,,,
54580,420,210.0,210,,,,,
54789,421,209.0,209,,,,,
55040,422,251.0,251,,,,,
55296,423,,,-0.0018316915375180542,94.0786848783493,0.5872383072972298,0.00539883125074071,
55384,423,344.0,344,,,,,
55577,424,193.0,193,,,,,
55748,425,171.0,171,,,,,
55970,426,222.0,222,,,,,
56126,427,156.0,156,,,,,
56382,428,256.0,256,,,,,
56567,429,185.0,185,,,,,
56834,430,267.0,267,,,,,
57108,431,274.0,274,,,,,
57344,432,,,-0.001328486599959433,91.16835944652557,0.5796369092538953,0.003249059786050186,
57436,432,328.0,328,,,,,
57537,433,101.0,101,,,,,
57768,434,231.0,231,,,,,
58239,435,471.0,471,,,,,
58519,436,280.0,280,,,,,
58950,437,431.0,431,,,,,
59276,438,326.0,326,,,,,
